図鑑No,名前,系統,紫卵,特性,性格,素質,HP,MP,攻,守,素早,攻魔,回魔,器用
41,ホークブリザード,鳥系,18000歩,なし,ぬけめがない,極,1024,380,428,532,429,490,505,647
41,ホークブリザード,鳥系,18000歩,なし,ぬけめがない,超,943,350,394,490,395,451,465,596
41,ホークブリザード,鳥系,18000歩,なし,ぬけめがない,特,871,323,364,453,365,417,430,550
41,ホークブリザード,鳥系,18000歩,なし,ぬけめがない,優,820,304,343,426,344,392,404,518
41,ホークブリザード,鳥系,18000歩,なし,ぬけめがない,並,768,285,321,399,322,368,379,486
41,ホークブリザード,鳥系,18000歩,なし,おせっかい,極,973,399,420,548,429,456,546,647
41,ホークブリザード,鳥系,18000歩,なし,おせっかい,超,895,368,386,505,395,420,502,596
41,ホークブリザード,鳥系,18000歩,なし,おせっかい,特,827,340,357,466,365,388,464,550
41,ホークブリザード,鳥系,18000歩,なし,おせっかい,優,779,320,336,439,344,365,437,518
41,ホークブリザード,鳥系,18000歩,なし,おせっかい,並,730,300,315,411,322,342,410,486
41,ホークブリザード,鳥系,18000歩,なし,ずのうめいせき,極,994,411,399,506,408,515,531,680
41,ホークブリザード,鳥系,18000歩,なし,ずのうめいせき,超,914,378,367,465,375,474,488,626
41,ホークブリザード,鳥系,18000歩,なし,ずのうめいせき,特,845,349,339,430,347,438,451,578
41,ホークブリザード,鳥系,18000歩,なし,ずのうめいせき,優,795,329,319,405,327,412,425,544
41,ホークブリザード,鳥系,18000歩,なし,ずのうめいせき,並,745,308,299,380,306,386,398,510
41,ホークブリザード,鳥系,18000歩,なし,きれもの,極,994,399,407,506,451,530,470,680
41,ホークブリザード,鳥系,18000歩,なし,きれもの,超,914,368,375,465,415,487,433,626
41,ホークブリザード,鳥系,18000歩,なし,きれもの,特,845,340,346,430,383,450,400,578
41,ホークブリザード,鳥系,18000歩,なし,きれもの,優,795,320,326,405,361,424,376,544
41,ホークブリザード,鳥系,18000歩,なし,きれもの,並,745,300,305,380,338,397,353,510
41,ホークブリザード,鳥系,18000歩,なし,ちからじまん,極,1055,354,454,548,399,466,480,602
41,ホークブリザード,鳥系,18000歩,なし,ちからじまん,超,971,326,418,505,368,429,442,554
41,ホークブリザード,鳥系,18000歩,なし,ちからじまん,特,897,301,386,466,340,396,408,512
41,ホークブリザード,鳥系,18000歩,なし,ちからじまん,優,844,283,363,439,320,373,384,482
41,ホークブリザード,鳥系,18000歩,なし,ちからじまん,並,792,266,341,411,300,350,360,452
41,ホークブリザード,鳥系,18000歩,なし,いっぴきおおかみ,極,1076,373,441,506,451,515,470,615
41,ホークブリザード,鳥系,18000歩,なし,いっぴきおおかみ,超,990,343,406,465,415,474,433,566
41,ホークブリザード,鳥系,18000歩,なし,いっぴきおおかみ,特,914,317,375,430,383,438,400,523
41,ホークブリザード,鳥系,18000歩,なし,いっぴきおおかみ,優,861,298,353,405,361,412,376,492
41,ホークブリザード,鳥系,18000歩,なし,いっぴきおおかみ,並,807,280,331,380,338,386,353,461
41,ホークブリザード,鳥系,18000歩,なし,むっつりスケベ,極,1055,361,416,543,464,476,490,680
41,ホークブリザード,鳥系,18000歩,なし,むっつりスケベ,超,971,333,382,500,427,438,451,626
41,ホークブリザード,鳥系,18000歩,なし,むっつりスケベ,特,897,307,353,462,394,405,417,578
41,ホークブリザード,鳥系,18000歩,なし,むっつりスケベ,優,844,289,333,435,371,381,392,544
41,ホークブリザード,鳥系,18000歩,なし,むっつりスケベ,並,792,271,312,407,348,357,368,510
41,ホークブリザード,鳥系,18000歩,なし,おおぐらい,極,1035,354,437,559,395,456,470,647
41,ホークブリザード,鳥系,18000歩,なし,おおぐらい,超,952,326,402,514,364,420,433,596
41,ホークブリザード,鳥系,18000歩,なし,おおぐらい,特,880,301,372,475,336,388,400,550
41,ホークブリザード,鳥系,18000歩,なし,おおぐらい,優,828,283,350,447,316,365,376,518
41,ホークブリザード,鳥系,18000歩,なし,おおぐらい,並,776,266,328,419,297,342,353,486
21,キラーマシン,マシン系,18000歩,ときどき追撃,ぬけめがない,極,1006,276,619,702,613,171,140,514
21,キラーマシン,マシン系,18000歩,ときどき追撃,ぬけめがない,超,926,254,570,646,564,158,129,473
21,キラーマシン,マシン系,18000歩,ときどき追撃,ぬけめがない,特,856,235,527,597,522,146,119,437
21,キラーマシン,マシン系,18000歩,ときどき追撃,ぬけめがない,優,805,221,496,562,491,137,112,412
21,キラーマシン,マシン系,18000歩,ときどき追撃,ぬけめがない,並,755,207,465,527,460,129,105,386
